Point Extension
Thermal Comfort
Air Change Rate
Clothing 
Specific Time
Specific Heat
Density
Mass
Carbon Equivalent Emissions
Moisture Transfer Rate
Luminous Efficacy
Node Height
Precipitation Rate
Precipitation Depth
Sunlit Area
Volume
Power
Radiation Rate
Heat Transfer Rate
Heat Gain Rate
Heat Storage Rate
Heat Loss Rate
Heating Rate
Latent Gain Rate
Cooling Rate
Convection Heat Transfer Coefficient
Radiation Heat Transfer Coefficient
Runtime
Cycling Ratio
Occupant
Factor
Node Quality
Window
Sky
Inside Face
Outside Face
Performance Curve
Control Type
Control Mode
Index
Schedule Value
Efficiency
Simulation
Part Load Ratio
Count
NaturalGas Rate
Fuel Rate
Loss Rate
